dataset,model,n_attacks,aux_cols,n_neighbors,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",3,True,0.1312,0.0,0.2836
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",3,True,0.0651,0.0,0.3106
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",4,True,0.1127,0.0,0.3516
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",4,True,0.0548,0.0,0.3609
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",5,True,0.0,0.0,0.4107
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter'], ['n_nodes', 'radius', 'transitivity'])",5,True,0.0994,0.0,0.4858
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",1,True,0.0,0.0,0.1072
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",1,True,0.0,0.0,0.0473
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",2,True,0.0,0.0,0.1542
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",2,True,0.0,0.0,0.0894
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",3,True,0.0,0.0,0.2422
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",3,True,0.0016,0.0,0.2556
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",4,True,0.0677,0.0,0.4009
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",4,True,0.0548,0.0,0.3609
ego-twitter,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",5,True,0.1214,0.0,0.5007
ego-twitter,grum,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes'], ['radius', 'transitivity'])",5,True,0.2458,0.0,0.5589
elliptic,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.0771
elliptic,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.167
elliptic,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,False,0.0,0.0,0.1964
elliptic,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,False,0.0261,0.0,0.3114
elliptic,edge,-1,"(['avg_clustering'], ['avg_deg', 'avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,True,0.0,0.0,0.3083
elliptic,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,False,0.0,0.0,0.0771
elliptic,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,True,0.0,0.0,0.1191
elliptic,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,False,0.0,0.0,0.1747
elliptic,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",4,False,0.0,0.0,0.2023
elliptic,edge,-1,"(['avg_clustering', 'avg_deg'], ['avg_shortest_path_len', 'deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",5,False,0.0,0.0,0.2298
elliptic,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",1,True,0.0,0.0,0.1074
elliptic,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",2,False,0.0,0.0,0.1074
elliptic,edge,-1,"(['avg_clustering', 'avg_deg', 'avg_shortest_path_len'], ['deg_assortativity_coef', 'diameter', 'n_nodes', 'radius', 'transitivity'])",3,False,0.0,0.0,0.1374
