dataset,model,n_attacks,struct_attrs,n_cols,feat_attr,min_matching_syns,gt_baseline,risk_value,risk_ci_lwr,risk_ci_upr
ego-facebook,spectre,500,all,3,True,1,False,0.0059,0.0,0.0162
ego-facebook,spectre,500,all,3,True,2,True,0.0083,0.0,0.0205
ego-facebook,spectre,500,all,3,True,3,True,0.012,0.0,0.0242
ego-facebook,spectre,500,all,3,True,4,True,0.0121,0.0,0.0243
ego-facebook,spectre,500,all,3,True,5,True,0.0067,0.0,0.0181
ego-facebook,spectre,500,all,4,True,1,False,0.0085,0.0,0.0206
ego-facebook,spectre,500,all,4,True,2,False,0.0001,0.0,0.0096
ego-facebook,spectre,500,all,4,True,3,True,0.0174,0.0033,0.0314
ego-facebook,spectre,500,all,4,True,4,True,0.0196,0.0051,0.0341
ego-facebook,spectre,500,all,4,True,5,False,0.005,0.0,0.0156
ego-facebook,spectre,500,all,5,True,1,True,0.0191,0.0044,0.0338
ego-facebook,spectre,500,all,5,True,2,False,0.0048,0.0,0.0155
ego-facebook,spectre,500,all,5,True,3,True,0.0108,0.0,0.0234
ego-facebook,spectre,500,all,5,True,4,False,0.0065,0.0,0.0179
ego-facebook,spectre,500,all,5,True,5,True,0.0108,0.0,0.0234
ego-twitter,spectre,500,all,1,True,1,True,0.0236,0.0037,0.0434
ego-twitter,spectre,500,all,1,True,2,True,0.2035,0.162,0.2449
ego-twitter,spectre,500,all,1,True,3,True,0.1935,0.1529,0.234
ego-twitter,spectre,500,all,1,True,4,True,0.1558,0.1167,0.1948
ego-twitter,spectre,500,all,1,True,5,True,0.1954,0.1529,0.2379
ego-twitter,spectre,500,all,2,True,1,True,0.0055,0.0,0.0227
ego-twitter,spectre,500,all,2,True,2,True,0.009,0.0,0.0318
ego-twitter,spectre,500,all,2,True,3,True,0.0492,0.0239,0.0744
ego-twitter,spectre,500,all,2,True,4,True,0.0058,0.0,0.0271
ego-twitter,spectre,500,all,2,True,5,True,0.0238,0.0025,0.0451
ego-twitter,spectre,500,all,3,True,1,True,0.0038,0.0,0.0247
ego-twitter,spectre,500,all,3,True,2,True,0.0285,0.0027,0.0543
ego-twitter,spectre,500,all,3,True,3,True,0.0361,0.0123,0.0599
ego-twitter,spectre,500,all,3,True,4,True,0.0181,0.0,0.0412
ego-twitter,spectre,500,all,3,True,5,True,0.0427,0.0157,0.0697
ego-twitter,spectre,500,all,4,True,1,True,0.015,0.0,0.0373
ego-twitter,spectre,500,all,4,True,2,True,0.032,0.0038,0.0602
ego-twitter,spectre,500,all,4,True,3,True,0.0476,0.0209,0.0743
ego-twitter,spectre,500,all,4,True,4,True,0.0365,0.0063,0.0668
ego-twitter,spectre,500,all,4,True,5,True,0.0571,0.0254,0.0889
ego-twitter,spectre,500,all,5,True,1,True,0.0269,0.0,0.0548
ego-twitter,spectre,500,all,5,True,2,True,0.0354,0.0056,0.0653
ego-twitter,spectre,500,all,5,True,3,True,0.0379,0.0102,0.0657
ego-twitter,spectre,500,all,5,True,4,True,0.0628,0.0319,0.0937
ego-twitter,spectre,500,all,5,True,5,True,0.0656,0.0352,0.096
